iter	Passed	Remaining
455	895	1068
456	896	1065
457	898	1063
458	899	1060
459	901	1058
460	902	1055
461	904	1053
462	905	1050
463	907	1048
464	908	1045
465	909	1042
466	911	1040
467	912	1037
468	914	1035
469	915	1032
470	917	1029
471	918	1027
472	919	1024
473	921	1022
474	922	1019
475	924	1017
476	925	1014
477	927	1012
478	928	1010
479	930	1007
480	931	1005
481	932	1001
482	933	999
483	935	996
484	936	994
485	937	992
486	939	989
487	940	986
488	942	984
489	943	982
490	945	979
491	946	977
492	948	975
493	950	973
494	951	970
495	953	968
496	954	966
497	956	963
498	957	961
499	958	958
500	960	956
501	961	954
502	963	951
503	964	949
504	966	946
505	967	944
506	969	942
507	970	940
508	972	937
509	973	935
510	975	933
511	976	930
512	978	928
513	979	926
514	981	924
515	982	921
516	983	919
517	986	918
518	987	915
519	989	913
520	991	911
521	994	910
522	997	909
523	999	908
524	1001	905
525	1003	904
526	1006	903
527	1009	902
528	1011	900
529	1014	899
530	1017	898
531	1020	897
532	1024	897
533	1027	896
534	1031	896
535	1033	894
536	1035	892
537	1038	891
538	1039	889
539	1043	888
540	1044	886
541	1047	885
542	1049	883
543	1051	881
544	1054	880
545	1055	877
546	1057	876
547	1059	874
548	1061	871
549	1062	869
550	1064	867
551	1066	865
552	1068	863
553	1069	861
554	1071	859
555	1073	857
556	1074	854
557	1076	852
558	1077	850
559	1078	847
560	1080	845
561	1082	843
562	1083	841
563	1085	838
564	1086	836
565	1088	835
566	1091	833
567	1092	831
568	1094	829
569	1096	827
570	1097	824
571	1099	822
572	1100	820
573	1102	818
574	1104	816
575	1105	814
576	1107	811
577	1109	810
578	1113	809
579	1115	807
580	1116	804
581	1120	804
582	1123	803
583	1128	803
584	1131	802
585	1133	800
586	1136	799
587	1140	798
588	1142	797
589	1145	795
590	1147	793
591	1148	791
592	1150	789
593	1152	787
594	1154	785
595	1155	783
596	1157	781
597	1158	778
598	1161	777
599	1162	775
600	1164	773
601	1165	770
602	1166	768
603	1167	765
604	1169	763
605	1171	761
606	1172	759
607	1173	756
608	1175	754
609	1177	752
610	1178	750
611	1180	748
612	1182	746
613	1183	744
614	1185	741
615	1186	739
616	1187	737
617	1189	734
618	1190	732
619	1208	740
620	1210	738
621	1212	737
622	1214	735
623	1216	733
624	1218	731
625	1220	729
626	1222	726
627	1223	724
628	1225	722
629	1226	720
630	1228	718
631	1229	715
632	1231	713
633	1232	711
634	1234	709
635	1235	707
636	1237	705
637	1239	703
638	1240	700
639	1242	698
640	1248	699
641	1250	697
642	1252	695
643	1253	693
644	1255	690
645	1256	688
646	1258	686
647	1260	684
648	1261	682
649	1263	680
650	1265	678
651	1266	676
652	1268	674
653	1270	672
654	1272	669
655	1273	667
656	1275	665
657	1276	663
658	1278	661
659	1281	660
660	1283	658
661	1284	656
662	1286	653
663	1288	651
664	1289	649
665	1291	647
666	1292	645
667	1294	643
668	1296	641
669	1297	639
670	1299	637
671	1300	634
672	1303	633
673	1304	631
674	1306	629
675	1308	627
676	1309	624
677	1311	622
678	1312	620
679	1314	618
680	1315	616
681	1317	614
682	1319	612
683	1320	610
684	1322	607
685	1323	605
686	1325	603
687	1326	601
688	1328	599
689	1330	597
690	1332	595
691	1333	593
692	1334	591
693	1336	589
694	1337	587
695	1339	585
696	1341	583
697	1343	581
698	1344	579
699	1346	577
700	1348	575
701	1350	573
702	1351	570
703	1352	568
704	1354	566
705	1356	564
706	1357	562
707	1359	560
708	1360	558
709	1361	556
710	1363	554
711	1364	552
712	1366	549
713	1367	547
714	1369	545
715	1370	543
716	1372	541
717	1373	539
718	1375	537
719	1376	535
720	1378	533
