iter	Logloss
0	0.6880886756
1	0.6834963949
2	0.6790519879
3	0.6740786149
4	0.6697102513
5	0.6656747979
6	0.6617918592
7	0.6575908271
8	0.6530705133
9	0.649380509
10	0.6460910602
11	0.6437872634
12	0.6400299676
13	0.6367812435
14	0.633575315
15	0.6311068538
16	0.6280204539
17	0.6239990244
18	0.6202879416
19	0.6166327968
20	0.6137268702
21	0.6101674504
22	0.6065233962
23	0.6034282474
24	0.6001963659
25	0.5970686778
26	0.5935481966
27	0.5903800879
28	0.5871612384
29	0.5842707357
30	0.5808378807
31	0.5782181539
32	0.5758442588
33	0.5733499252
34	0.5704004983
35	0.5671742236
36	0.564369089
37	0.5618083195
38	0.5589885349
39	0.5564999081
40	0.5540413736
41	0.5519801998
42	0.5499262367
43	0.5470998296
44	0.5450488719
45	0.5430460101
46	0.5404338434
47	0.5383687773
48	0.5363982645
49	0.5344077472
50	0.5324058056
51	0.5311213031
52	0.5286889238
53	0.5265691594
54	0.5238979798
55	0.521764146
56	0.5196879154
57	0.5176961967
58	0.5157513112
59	0.5135100711
60	0.5121563141
61	0.5112882864
62	0.5099806978
63	0.5078105799
64	0.5059544743
65	0.5042220389
66	0.5027511305
67	0.5006361567
68	0.4987860087
69	0.4977344406
70	0.4959866011
71	0.4945405567
72	0.4931712691
73	0.4920236368
74	0.4908792277
75	0.4895389152
76	0.4880047753
77	0.4868396863
78	0.4858400353
79	0.4848863104
80	0.483625291
81	0.4820253991
82	0.480869809
83	0.4793821971
84	0.478256855
85	0.4770947266
86	0.4761080041
87	0.4744751012
88	0.4735720085
89	0.4723192448
90	0.4714573542
91	0.470394336
92	0.4693694273
93	0.4681055454
94	0.4667925863
95	0.4657663999
96	0.4653236089
97	0.464249363
98	0.4631247392
99	0.4620641642
100	0.4608127321
101	0.4598554893
102	0.4585518912
103	0.4574145236
104	0.4568812346
105	0.4555856962
106	0.4545413034
107	0.4532847144
108	0.452160824
109	0.4511603904
110	0.4501044146
111	0.4493303705
112	0.4485034011
113	0.4474658749
114	0.446631323
115	0.4456718255
116	0.4447561833
117	0.4437093474
118	0.4434221844
119	0.442487173
120	0.4417240084
121	0.4410699451
122	0.440393547
123	0.4394888576
124	0.4391737734
125	0.4379949581
126	0.4370918531
127	0.4365460821
128	0.4352684275
129	0.4344882329
130	0.4336519272
131	0.4329342349
132	0.4321727537
133	0.4313145562
134	0.4302548412
135	0.4294360995
136	0.4288254883
137	0.4282588648
138	0.4276073602
139	0.4270191708
140	0.4262999833
141	0.4255271485
142	0.4248481943
143	0.424374743
144	0.4234357629
145	0.4228965324
146	0.4222243275
147	0.4214284095
148	0.4208094191
149	0.4203448519
150	0.4200518643
151	0.4196877192
152	0.4191519253
153	0.4184722004
154	0.4180221607
155	0.4175653833
156	0.4168594254
157	0.416502207
158	0.4160355143
159	0.4155203344
160	0.4149904716
161	0.4148363493
162	0.4143869282
163	0.4137283829
164	0.4133286285
165	0.4128180517
166	0.4126823428
167	0.4120941356
168	0.4115897779
169	0.4111317379
170	0.410572244
171	0.4098205079
172	0.4093204845
173	0.4091915933
174	0.4087249348
175	0.4083696671
176	0.4078626445
177	0.4074285916
178	0.4067566839
179	0.4062145595
180	0.4058647183
181	0.4052157461
182	0.4047582147
183	0.4042868334
184	0.4037939998
185	0.4031842637
186	0.4027471743
187	0.4020564367
188	0.4015253032
189	0.4010484058
190	0.400601031
191	0.4000084807
192	0.3995535063
193	0.3991916563
194	0.3988008016
195	0.3983413375
196	0.3977203369
197	0.397285978
198	0.3969738679
199	0.3963609804
200	0.3960439847
201	0.3955994992
202	0.3953831316
203	0.3949990925
204	0.3948032252
205	0.394465656
206	0.394408093
207	0.3940966224
208	0.3938068712
209	0.39344193
210	0.3930955264
211	0.3927256678
212	0.3923170656
213	0.3920881085
214	0.3917081277
215	0.3911669435
216	0.3908352364
217	0.3906385036
218	0.3903610969
219	0.3898296254
220	0.3893523383
221	0.3889458155
222	0.3886878983
223	0.3884073338
224	0.3881070314
225	0.3879362037
226	0.3874885043
227	0.3872700013
228	0.3869323508
229	0.386505453
230	0.3859747407
231	0.3858593849
232	0.3855385023
233	0.3851438523
234	0.3848956109
235	0.3846240881
236	0.3842052419
237	0.3839028099
238	0.3837977195
239	0.3833770999
240	0.3830830195
241	0.3829689827
242	0.3828439784
243	0.3822712262
244	0.3821267828
245	0.3817995778
246	0.3815773242
247	0.3814577832
248	0.3812844567
249	0.3810665485
250	0.3806845161
251	0.3802522958
252	0.379989683
253	0.3797144046
254	0.3794622129
255	0.3791609101
256	0.3787950828
257	0.3784790903
258	0.3782734209
259	0.3777970164
260	0.3773749414
261	0.3770772934
262	0.3768243827
263	0.3765899463
264	0.3763891559
265	0.3762275358
266	0.376018027
267	0.3756689627
268	0.3755108255
269	0.3753207303
270	0.3750320429
271	0.3747140985
272	0.3744522833
273	0.3742101535
274	0.3738324493
275	0.3735089353
276	0.3731472536
277	0.3726920941
278	0.3723909059
279	0.3721598748
280	0.3719383943
281	0.3717503213
282	0.3714179153
283	0.371071576
284	0.3707543332
285	0.3704398354
286	0.3701612176
287	0.3699791927
288	0.3697453012
289	0.3695281234
290	0.3692492398
291	0.3691445937
292	0.3686451929
293	0.3684637669
294	0.368179508
295	0.3680204719
296	0.3677507747
297	0.3674652942
298	0.3669802574
299	0.3665911052
300	0.3665060879
301	0.3664435273
302	0.3661151617
303	0.3658876222
304	0.3655079115
305	0.3652603342
306	0.3651305698
307	0.3647322809
308	0.3645826836
309	0.3642891112
310	0.3641379187
311	0.363710026
312	0.3634279932
313	0.3632270421
314	0.3630219853
315	0.3629028085
316	0.3626138857
317	0.3623905873
318	0.3622918565
319	0.3622430298
320	0.3618291847
321	0.3615621037
322	0.3614146395
323	0.3610713008
324	0.3608245355
325	0.3607692321
326	0.3604895715
327	0.3600985241
328	0.3599784934
329	0.3597819806
330	0.3596715442
331	0.3594208246
332	0.359143725
333	0.358868107
334	0.3587080185
335	0.3584923967
336	0.3582819856
337	0.3580115952
338	0.3576672233
339	0.3573998252
340	0.3572570793
341	0.3570013577
342	0.3567282372
343	0.3565302574
344	0.3562279993
345	0.3559796197
346	0.3557147981
347	0.3555647196
348	0.3554301597
349	0.3552123692
350	0.3549828029
351	0.3547333114
352	0.3545151461
353	0.3541816761
354	0.3539637622
355	0.3537454631
356	0.3536583717
357	0.3535852798
